,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
387,RBF_80_1,Teste,7,549,0,171,1
388,RBF_80_1,Teste,8,521,1,199,0
389,RBF_80_1,Teste,9,519,0,202,0
390,RBF_80_1,Treino,0,4760,0,1725,4
391,RBF_80_1,Treino,1,4756,0,1729,5
392,RBF_80_1,Treino,2,4764,1,1724,1
393,RBF_80_1,Treino,3,4761,1,1724,4
394,RBF_80_1,Treino,4,4764,1,1722,3
395,RBF_80_1,Treino,5,4755,0,1732,3
396,RBF_80_1,Treino,6,4755,0,1731,4
397,RBF_80_1,Treino,7,4739,0,1747,4
398,RBF_80_1,Treino,8,4766,0,1719,5
399,RBF_80_1,Treino,9,4768,1,1717,4
